class_id,class_school,class_city,class_grade_inferred,class_total_missions,class_total_tasks,class_total_students,class_first_activity_date,class_last_activity_date,class_avg_quiz_seconds_taken,class_has_multi_week_activity,class_avg_completion_rate,class_distinct_task_names_by_id,class_peak_activity_slot
class_1,,臺北市,,1,1,147,2025-03-26 06:57:00.000000 UTC,2025-03-26 07:01:00.000000 UTC,19.236599664991600,FALSE,0.83673469387755100,四上［同分母分數的比較］,上課時間
class_2,,宜蘭縣,,1,1,131,2025-03-12 00:37:00.000000 UTC,2025-03-14 03:59:00.000000 UTC,24.635638297872300,FALSE,0.19083969465648900,三上［認識分數],上課時間
class_3,,宜蘭縣,,1,1,105,2025-03-12 00:37:00.000000 UTC,2025-03-13 03:48:00.000000 UTC,27.179419525065900,FALSE,0.36190476190476200,四上［同分母分數的比較］,上課時間
class_4,市立銘傳國中,基隆市,,1,1,100,2025-02-04 01:57:00.000000 UTC,2025-02-04 01:57:00.000000 UTC,,FALSE,0.0,三上［認識分數],無資料
class_5,Future實驗教育機構,新北市,,1,1,58,2025-02-06 06:50:00.000000 UTC,2025-02-06 06:52:00.000000 UTC,9.2189500640204900,FALSE,0.9137931034482760,三上［認識分數],上課時間
class_6,縣立大同國小,宜蘭縣,,1,1,56,2025-02-08 03:24:00.000000 UTC,2025-02-08 03:24:00.000000 UTC,17.982456140350900,FALSE,0.32142857142857100,四上［同分母分數的比較］,上課時間
class_7,市立海山國小,新北市,,1,1,52,2025-05-30 05:21:00.000000 UTC,2025-05-30 05:22:00.000000 UTC,12.5,FALSE,0.0,四上［同分母分數加減］,無資料
class_8,,花蓮縣,0,1,1,50,2025-05-13 05:41:00.000000 UTC,2025-05-13 05:41:00.000000 UTC,10.177777777777800,FALSE,0.06,三上［認識分數],上課時間
class_9,市立古亭國小,臺北市,2,1,1,44,2025-03-21 01:52:00.000000 UTC,2025-03-21 01:56:00.000000 UTC,12.505,FALSE,0.95454545454545500,三上［認識分數],上課時間
class_10,市立楊梅國小,桃園市,,1,1,41,2025-02-24 07:15:00.000000 UTC,2025-02-25 05:49:00.000000 UTC,34.635388739946400,FALSE,0.48780487804878100,四上［同分母分數的比較］,上課時間
class_11,市立中正國小,新北市,4,2,2,39,2025-04-24 04:57:00.000000 UTC,2025-04-24 05:00:00.000000 UTC,38.615853658536500,FALSE,0.3205128205128210,四上［同分母分數的比較］&四上［同分母分數加減］,上課時間
class_12,縣立員山國小,宜蘭縣,4,1,1,38,2025-05-14 08:45:00.000000 UTC,2025-05-14 08:45:00.000000 UTC,39.517241379310300,FALSE,0.18421052631578900,四上［同分母分數加減］,早自習
class_13,,新竹市,,1,1,36,2025-02-06 08:25:00.000000 UTC,2025-02-06 08:29:00.000000 UTC,18.075000000000000,FALSE,0.30555555555555600,四上［同分母分數加減］,課後輔導
class_14,市立樂善國小,桃園市,3,1,1,31,2025-02-18 16:52:00.000000 UTC,2025-02-19 01:10:00.000000 UTC,27.177570093457900,FALSE,0.967741935483871,三上［認識分數],上課時間
class_15,市立龍星國小,桃園市,5,2,2,30,2025-02-18 00:54:00.000000 UTC,2025-02-18 06:32:00.000000 UTC,34.370680628272300,FALSE,0.91666666666666600,三上［認識分數]&四上［同分母分數加減］,上課時間
class_16,縣立新生國小,宜蘭縣,3,1,1,30,2025-03-11 05:40:00.000000 UTC,2025-03-11 05:46:00.000000 UTC,28.022556390977400,FALSE,0.9000000000000000,三上［認識分數],上課時間
class_17,縣立照南國小,苗栗縣,4,2,2,29,2025-03-24 01:43:00.000000 UTC,2025-03-24 01:43:00.000000 UTC,32.169965075669400,FALSE,0.72413793103448300,四上［同分母分數的比較］&四上［同分母分數加減］,早自習
class_18,市立路竹國小,高雄市,3,1,1,29,2025-05-15 08:22:00.000000 UTC,2025-05-26 04:56:00.000000 UTC,45.035714285714300,TRUE,0.068965517241379300,三上［認識分數],上課時間
class_19,市立大勇國小,臺中市,,1,1,28,2025-02-06 03:39:00.000000 UTC,2025-02-06 03:39:00.000000 UTC,,FALSE,0.0,三上［認識分數],無資料
class_20,縣立新生國小,宜蘭縣,,1,1,28,2025-03-17 07:35:00.000000 UTC,2025-03-17 07:35:00.000000 UTC,25.950953678474100,FALSE,0.78571428571428600,三上［認識分數],上課時間
class_21,縣立竹山國小,南投縣,,1,1,28,2025-03-28 04:51:00.000000 UTC,2025-03-28 05:07:00.000000 UTC,73.650362318840700,FALSE,0.75000000000000000,五上［異分母分數的比較與加減］,上課時間
class_22,市立新甲國小,高雄市,,1,1,28,2025-04-29 04:59:00.000000 UTC,2025-04-29 05:22:00.000000 UTC,19.887179487179500,FALSE,0.92857142857142800,三上［認識分數],上課時間
class_23,,宜蘭縣,,1,1,27,2025-02-13 02:11:00.000000 UTC,2025-02-13 02:11:00.000000 UTC,88.037037037037000,FALSE,0.07407407407407410,五上［異分母分數的比較與加減］,上課時間
class_24,市立楠陽國小,高雄市,5,2,1,27,2025-02-20 06:19:00.000000 UTC,2025-02-27 08:00:00.000000 UTC,60.470938897168400,TRUE,1.0,五上［異分母分數的比較與加減］,上課時間
class_25,縣立新生國小,宜蘭縣,2,1,1,27,2025-03-11 06:30:00.000000 UTC,2025-03-11 06:30:00.000000 UTC,24.710396039603900,FALSE,0.96296296296296300,三上［認識分數],上課時間
class_26,縣立新生國小,宜蘭縣,2,1,1,27,2025-03-11 07:27:00.000000 UTC,2025-03-11 07:27:00.000000 UTC,27.460916442048500,FALSE,0.88888888888888900,三上［認識分數],上課時間
class_27,市立秀朗國小,新北市,,2,2,27,2025-03-12 07:30:00.000000 UTC,2025-03-12 07:32:00.000000 UTC,,FALSE,0.0,四上［同分母分數的比較］&五上［異分母分數的比較與加減］,無資料
