class_id,class_school,class_city,class_grade_inferred,class_total_missions,class_total_tasks,class_total_students,class_first_activity_date,class_last_activity_date,class_avg_quiz_seconds_taken,class_has_multi_week_activity,class_avg_completion_rate,class_distinct_task_names_by_id,class_peak_activity_slot,class_peak_activity_slot_customized,group_grade_inferred,group_task_name,group_total_students,group_total_missions,cutomized_slot_and_student
class_9,市立古亭國小,臺北市,2.0,1,1,44,2025-03-21 01:52:00.000000 UTC,2025-03-21 01:56:00.000000 UTC,12.505,False,0.954545454545455,三上［認識分數],上課時間,During Class,Grade 2,Grade 3,21+,1-1.99,During Class_21+
class_11,市立中正國小,新北市,4.0,2,2,39,2025-04-24 04:57:00.000000 UTC,2025-04-24 05:00:00.000000 UTC,38.615853658536494,False,0.320512820512821,四上［同分母分數的比較］&四上［同分母分數加減］,上課時間,During Class,Grade 4,Grade 4 Combo (Comparison + Add/Sub),21+,2-2.99,During Class_21+
class_12,縣立員山國小,宜蘭縣,4.0,1,1,38,2025-05-14 08:45:00.000000 UTC,2025-05-14 08:45:00.000000 UTC,39.517241379310306,False,0.184210526315789,四上［同分母分數加減］,早自習,Morning Self-study,Grade 4,Grade 4 (Add/Sub),21+,1-1.99,Morning Self-study_21+
class_14,市立樂善國小,桃園市,3.0,1,1,31,2025-02-18 16:52:00.000000 UTC,2025-02-19 01:10:00.000000 UTC,27.1775700934579,False,0.967741935483871,三上［認識分數],上課時間,During Class,Grade 3,Grade 3,21+,1-1.99,During Class_21+
class_15,市立龍星國小,桃園市,5.0,2,2,30,2025-02-18 00:54:00.000000 UTC,2025-02-18 06:32:00.000000 UTC,34.3706806282723,False,0.916666666666666,三上［認識分數]&四上［同分母分數加減］,上課時間,During Class,Grade 5,Grade 3 + Grade 4 (Add/Sub),21+,2-2.99,During Class_21+
class_16,縣立新生國小,宜蘭縣,3.0,1,1,30,2025-03-11 05:40:00.000000 UTC,2025-03-11 05:46:00.000000 UTC,28.0225563909774,False,0.9,三上［認識分數],上課時間,During Class,Grade 3,Grade 3,21+,1-1.99,During Class_21+
class_17,縣立照南國小,苗栗縣,4.0,2,2,29,2025-03-24 01:43:00.000000 UTC,2025-03-24 01:43:00.000000 UTC,32.1699650756694,False,0.724137931034483,四上［同分母分數的比較］&四上［同分母分數加減］,早自習,Morning Self-study,Grade 4,Grade 4 Combo (Comparison + Add/Sub),21+,2-2.99,Morning Self-study_21+
class_18,市立路竹國小,高雄市,3.0,1,1,29,2025-05-15 08:22:00.000000 UTC,2025-05-26 04:56:00.000000 UTC,45.035714285714306,True,0.0689655172413793,三上［認識分數],上課時間,During Class,Grade 3,Grade 3,21+,1-1.99,During Class_21+
class_24,市立楠陽國小,高雄市,5.0,2,1,27,2025-02-20 06:19:00.000000 UTC,2025-02-27 08:00:00.000000 UTC,60.4709388971684,True,1.0,五上［異分母分數的比較與加減］,上課時間,During Class,Grade 5,Grade 5,21+,2-2.99,During Class_21+
class_25,縣立新生國小,宜蘭縣,2.0,1,1,27,2025-03-11 06:30:00.000000 UTC,2025-03-11 06:30:00.000000 UTC,24.7103960396039,False,0.962962962962963,三上［認識分數],上課時間,During Class,Grade 2,Grade 3,21+,1-1.99,During Class_21+
